frame,num_particles,solver_iters,max_neighbors,sort_every_n,sim_ms_gpu,clear,points_speed,present,gpu_0,render_ms,frame_ms,fps,profile
0,1.024e+06,2,64,1,-1,1.2653,0.0007,18.838,0.003072,20.1638,25.3214,39.4923,""
1,1.024e+06,2,64,1,-1,1.2839,0.0006,0.9602,0.004096,3.8636,4.5987,217.453,""
2,1.024e+06,2,64,1,-1,0.3045,0.0008,1.8502,0.004096,4.6811,5.4564,183.271,""
3,1.024e+06,2,64,1,-1,0.1703,0.0006,0.1743,0.003072,3.9037,4.8194,207.495,""
4,1.024e+06,2,64,1,-1,0.1302,0.0008,0.3215,0.004096,3.7642,4.5133,221.567,""
5,1.024e+06,2,64,1,-1,0.1378,0.0006,0.1696,0.004096,3.8283,4.5621,219.197,""
6,1.024e+06,2,64,1,-1,0.1566,0.0005,0.1688,0.003072,4.3042,5.0728,197.13,""
7,1.024e+06,2,64,1,-1,0.1498,0.0005,0.1524,0.003072,3.7212,4.6069,217.066,""
8,1.024e+06,2,64,1,-1,0.1512,0.0005,0.1867,0.003072,3.7626,4.5344,220.536,""
9,1.024e+06,2,64,1,-1,0.123,0.0006,0.1451,0.003072,3.736,4.5608,219.26,""
10,1.024e+06,2,64,1,-1,0.1459,0.0008,0.1536,0.003072,3.7933,4.5976,217.505,""
11,1.024e+06,2,64,1,-1,0.1672,0.0006,0.2046,0.003072,3.811,4.6824,213.566,""
12,1.024e+06,2,64,1,-1,0.1343,0.0005,0.1511,0.003072,3.8113,4.5623,219.188,""
13,1.024e+06,2,64,1,-1,0.1218,0.0006,0.1437,0.002048,3.7848,4.5325,220.629,""
14,1.024e+06,2,64,1,-1,0.1181,0.0005,0.1492,0.003072,3.8814,4.5873,217.993,""
15,1.024e+06,2,64,1,-1,0.1596,0.0006,0.1747,0.003072,3.6067,4.6284,216.057,""
16,1.024e+06,2,64,1,-1,0.1369,0.0005,0.1496,0.002048,3.9199,4.8594,205.787,""
17,1.024e+06,2,64,1,-1,0.1282,0.0005,0.1499,0.002048,3.8024,4.5543,219.573,""
18,1.024e+06,2,64,1,-1,0.1273,0.0005,0.1512,0.002048,3.8367,4.593,217.723,""
19,1.024e+06,2,64,1,-1,0.1657,0.0007,0.1781,0.004032,3.8482,4.6139,216.736,""
20,1.024e+06,2,64,1,-1,0.139,0.0005,0.1515,0.003008,4.1536,4.954,201.857,""
21,1.024e+06,2,64,1,-1,0.1431,0.0005,0.1709,0.003072,3.8745,4.6221,216.352,""
22,1.024e+06,2,64,1,-1,0.1312,0.0005,0.2154,0.002048,3.6869,4.605,217.155,""
23,1.024e+06,2,64,1,-1,0.2072,0.0007,0.2232,0.00288,3.9383,4.7788,209.258,""
24,1.024e+06,2,64,1,-1,0.149,0.0005,0.1705,0.003072,3.9846,5.038,198.491,""
25,1.024e+06,2,64,1,-1,0.139,0.0005,0.1588,0.002048,3.8402,4.5878,217.969,""
26,1.024e+06,2,64,1,-1,0.1598,0.0006,0.2053,0.002048,3.926,4.7662,209.811,""
27,1.024e+06,2,64,1,-1,0.1474,0.0005,0.1577,0.002048,3.7625,4.8049,208.121,""
28,1.024e+06,2,64,1,-1,0.1356,0.0005,0.1531,0.002048,3.4032,4.6248,216.226,""
29,1.024e+06,2,64,1,-1,0.1303,0.0005,0.1544,0.002048,3.7519,4.5103,221.715,""
30,1.024e+06,2,64,1,-1,0.1624,0.0007,0.1856,0.003072,3.8262,4.6182,216.535,""
31,1.024e+06,2,64,1,-1,0.1663,0.0005,0.1674,0.003072,3.7955,4.8203,207.456,""
32,1.024e+06,2,64,1,-1,0.1692,0.0008,0.2283,0.002048,3.6471,4.4811,223.159,""
33,1.024e+06,2,64,1,-1,0.1423,0.0005,0.1727,0.002048,3.643,4.5407,220.23,""
34,1.024e+06,2,64,1,-1,0.1577,0.0007,0.2111,0.002944,3.7306,4.5401,220.259,""
35,1.024e+06,2,64,1,-1,0.1671,0.0006,0.2002,0.002048,3.8833,4.7175,211.977,""
36,1.024e+06,2,64,1,-1,0.1418,0.0006,0.1538,0.002048,3.9291,4.7429,210.841,""
37,1.024e+06,2,64,1,-1,0.1346,0.0006,0.1652,0.003008,3.5271,4.4791,223.259,""
38,1.024e+06,2,64,1,-1,0.1652,0.0007,0.2121,0.003072,3.6976,4.5496,219.8,""
39,1.024e+06,2,64,1,-1,0.1608,0.0006,0.1597,0.002048,3.7311,4.6893,213.251,""
40,1.024e+06,2,64,1,-1,0.1498,0.0005,0.1569,0.003072,3.3645,4.4652,223.954,""
41,1.024e+06,2,64,1,-1,0.1367,0.0005,0.1708,0.003072,3.6962,4.4623,224.1,""
42,1.024e+06,2,64,1,-1,0.1409,0.0005,0.1677,0.002048,3.7512,4.504,222.025,""
43,1.024e+06,2,64,1,-1,0.1687,0.0007,0.1897,0.00304,3.7751,4.5076,221.848,""
44,1.024e+06,2,64,1,-1,0.1614,0.0008,0.1957,0.003072,3.7539,4.6041,217.198,""
45,1.024e+06,2,64,1,-1,0.1476,0.0005,0.1644,0.003072,3.7077,4.5265,220.921,""
46,1.024e+06,2,64,1,-1,0.1223,0.0005,0.1528,0.003072,3.7087,4.468,223.814,""
47,1.024e+06,2,64,1,-1,0.1267,0.0006,0.1686,0.004096,3.4534,4.5006,222.193,""
48,1.024e+06,2,64,1,-1,0.1474,0.0005,0.1752,0.003072,3.7231,4.4875,222.841,""
49,1.024e+06,2,64,1,-1,0.139,0.0006,0.1558,0.003072,3.7206,4.4442,225.012,""
50,1.024e+06,2,64,1,-1,0.1337,0.0006,0.1618,0.003072,3.7822,4.6134,216.76,""
51,1.024e+06,2,64,1,-1,0.1436,0.0005,0.1698,0.004096,3.4788,4.4775,223.339,""
52,1.024e+06,2,64,1,-1,0.1245,0.0005,0.152,0.003072,3.7501,4.4912,222.658,""
53,1.024e+06,2,64,1,-1,0.1355,0.0007,0.175,0.003072,3.4593,4.4488,224.78,""
54,1.024e+06,2,64,1,-1,0.1384,0.0005,0.1601,0.004064,3.4284,4.5272,220.887,""
55,1.024e+06,2,64,1,-1,0.1262,0.0005,0.1514,0.004096,3.7814,4.4978,222.331,""
