frame,num_particles,solver_iters,max_neighbors,sort_every_n,sim_ms_gpu,clear,points,points_speed,present,gpu_0,render_ms,frame_ms,fps,profile
0,1.024e+06,1,64,1,-1,1.0733,0.0005,0.156,18.0624,0.004096,19.6231,25.3796,39.4017,""
1,1.024e+06,1,64,1,-1,1.0686,0.0005,0.0581,1.2626,0.003072,3.8506,4.4559,224.422,""
2,1.024e+06,1,64,1,-1,0.5074,0.0006,0.0721,2.1438,0.003072,2.9258,7.225,138.408,""
3,1.024e+06,1,64,1,-1,0.1394,0.0009,0.0801,0.7634,0.003072,3.8175,4.392,227.687,""
4,1.024e+06,1,64,1,-1,0.2493,0.0006,0.0737,1.3415,0.003072,3.9751,4.6852,213.438,""
5,1.024e+06,1,64,1,-1,0.1878,0.0005,0.05,0.2867,0.003072,3.7591,8.9338,111.934,""
6,1.024e+06,1,64,1,-1,0.2007,0.0005,0.0667,0.3963,0.003072,3.6102,4.689,213.265,""
7,1.024e+06,1,64,1,-1,0.1728,0.0005,0.0498,0.4179,0.003072,3.7086,4.4578,224.326,""
8,1.024e+06,1,64,1,-1,0.383,0.0006,0.0547,0.3835,0.003072,4.0371,4.7337,211.251,""
9,1.024e+06,1,64,1,-1,0.4879,0.0004,0.0513,0.3496,0.003072,3.7503,4.388,227.894,""
10,1.024e+06,1,64,1,-1,0.3357,0.0005,0.0502,0.2762,0.002048,3.9641,4.7084,212.386,""
11,1.024e+06,1,64,1,-1,0.3095,0.0005,0.0486,0.2605,0.002048,3.9323,4.5611,219.245,""
12,1.024e+06,1,64,1,-1,0.3131,0.0005,0.0498,0.4097,0.003072,3.843,4.4574,224.346,""
13,1.024e+06,1,64,1,-1,0.4565,0.0004,0.0692,0.4052,0.002048,3.8711,4.4815,223.14,""
14,1.024e+06,1,64,1,-1,0.3561,0.0004,0.0513,0.3795,0.003936,3.7573,4.6505,215.031,""
15,1.024e+06,1,64,1,-1,0.3007,0.0004,0.0478,0.2579,0.002048,3.9648,4.5813,218.279,""
16,1.024e+06,1,64,1,-1,0.3141,0.0006,0.0571,0.3461,0.002016,3.8373,4.4722,223.604,""
17,1.024e+06,1,64,1,-1,0.3332,0.0006,0.0627,0.3598,0.001024,3.8295,4.4636,224.034,""
18,1.024e+06,1,64,1,-1,0.3671,0.0005,0.0554,0.3258,0.003072,4.1472,4.7494,210.553,""
19,1.024e+06,1,64,1,-1,0.3216,0.0004,0.0491,0.2801,0.002048,4.0096,4.7061,212.49,""
20,1.024e+06,1,64,1,-1,0.309,0.0006,0.0481,0.3587,0.002048,3.7238,4.4457,224.936,""
21,1.024e+06,1,64,1,-1,0.2914,0.0005,0.0478,0.3297,0.002048,3.5766,4.3454,230.128,""
22,1.024e+06,1,64,1,-1,0.3983,0.0005,0.0741,0.4536,0.002048,3.4857,4.3503,229.869,""
23,1.024e+06,1,64,1,-1,0.3586,0.0004,0.0508,0.2664,0.002048,3.7163,4.5831,218.193,""
24,1.024e+06,1,64,1,-1,0.3181,0.0005,0.0479,0.3135,0.002048,3.9157,4.6428,215.387,""
25,1.024e+06,1,64,1,-1,0.3037,0.0005,0.0474,0.2534,0.001024,3.756,4.3741,228.618,""
26,1.024e+06,1,64,1,-1,0.3302,0.0005,0.0634,0.3349,0.001024,3.7408,4.3725,228.702,""
27,1.024e+06,1,64,1,-1,0.3885,0.0006,0.0638,0.3356,0.002048,3.3572,4.4554,224.447,""
28,1.024e+06,1,64,1,-1,0.3517,0.0005,0.0494,0.2962,0.002048,3.4548,4.4726,223.584,""
29,1.024e+06,1,64,1,-1,0.304,0.0006,0.0477,0.257,0.001984,3.6799,4.3804,228.29,""
30,1.024e+06,1,64,1,-1,0.3068,0.0005,0.0493,0.3131,0.002048,3.8947,4.4923,222.603,""
31,1.024e+06,1,64,1,-1,0.2964,0.0006,0.0491,0.3235,0.00192,3.7164,4.3883,227.879,""
32,1.024e+06,1,64,1,-1,0.3842,0.0005,0.0572,0.3766,0.001984,3.786,4.5207,221.205,""
33,1.024e+06,1,64,1,-1,0.3479,0.0004,0.0526,0.3346,0.002048,3.6808,4.61,216.92,""
34,1.024e+06,1,64,1,-1,0.3557,0.0004,0.0595,0.3249,0.002048,3.8703,4.5452,220.012,""
35,1.024e+06,1,64,1,-1,0.3407,0.0005,0.0646,0.3128,0.001024,3.7005,4.3237,231.283,""
36,1.024e+06,1,64,1,-1,0.2757,0.0004,0.0471,0.3411,0.003072,3.7051,4.3824,228.185,""
37,1.024e+06,1,64,1,-1,0.37,0.0009,0.0689,0.3716,0.002976,3.6857,4.3672,228.98,""
38,1.024e+06,1,64,1,-1,0.3623,0.0005,0.0563,0.3621,0.002048,3.5784,4.6164,216.619,""
39,1.024e+06,1,64,1,-1,0.2953,0.0004,0.0497,0.3073,0.002048,3.8078,4.4904,222.697,""
